Action,Adventure,Fantasy,Science Fiction,Crime,Drama,Thriller,Animation,Family,Western,Comedy,Romance,Horror,Mystery,History,War,Music,Documentary,Foreign,TV Movie,overview
1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,agent j will smith k tommy lee jones back time j see thing year men black nothing even alien perplexes much wry partner k life fate planet put stake agent j travel back time put thing right j discover secret universe k never tell secret reveal team agent k josh brolin save partner agency future humankind
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,immediately event desolation smaug bilbo dwarf try defend erebor mountain treasure others claim men ruin laketown elf mirkwood meanwhile army orcs lead azog defiler march erebor fuel rise dark lord sauron dwarf elf men unite hope fall bilbo hand
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,peter parker schooler abandon parent boy leave raise uncle ben aunt may teenager peter try figure get person today peter discover briefcase belong father begin quest understand parent disappearance lead directly oscorp lab curt connors father partner set collision course connors alter ego lizard peter make choice use power shape destiny become hero
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,robin happen die robert loxley promise return man sword family nottingham assume robert identity romance widow marion draw ire town sheriff king john henchman godfrey
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dwarf bilbo gandalf successfully escape misty mountain bilbo gain ring continue journey get gold back dragon smaug
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,overhear shocking secret lyra belacqua trade existence roam hall jordan college adventure far north unaware part destiny
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,new york overly movie producer coerce cast hire ship crew travel skull island encounter kong ape immediately smite lead lady
0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,year later woman name rose dewitt bukater tell story granddaughter lizzy calvert brock lovett lewis bodine bobby buell anatoly mikailavich keldysh life set april ship call titanic rose board depart ship passenger mother ruth dewitt bukater fiancé caledon hockley meanwhile drifter artist name jack dawson friend fabrizio de rossi win ticket ship game explain story departure death titanic voyage april morning
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,follow event age ultron government world pas act design regulate activity opinion avenger cause faction side iron man captain america cause battle ally
1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,mankind beam radio signal space reply come planet g form craft splash water hawaii lieutenant alex hopper weapon officer assign us john paul jones part coalition become world hope survival engage force strength take invader hopper also try live brother fiancée father admiral shane expect
1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,year event jurassic park isla nublar feature fully function theme park jurassic world originally envision john hammond
1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,bond assignment go gravely agent world expose attack force m relocate agency event cause authority position challenge gareth mallory chairman intelligence security committee compromise inside m leave ally trust bond take shadow aid field agent eve follow trail silva motif yet reveal
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,peter parker go identity crisis burn decide shelve superhero alter ego leave city suffering wake carnage leave doc ock meantime parker still act feeling mary jane watson girl love childhood
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tony stark world apart terrorist call mandarin start odyssey rebuild retribution
0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,alice betroth dunce nobleman engagement party escape crowd consider go marriage fall hole garden spot rabbit arriving place call find world resemble nightmare child fill talk animal queen knight bandersnatches alice realize reason conquer horrific jabberwocky restore rightful queen throne
1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,cure find treat mutation line draw brotherhood band mutant organize xavier ally magneto
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,look relationship mike sulley day monster university necessarily friend
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sam witwicky leave autobots life mind fill symbol decepticons target drag back transformer war
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,humanity pick piece follow conclusion transformer dark moon autobots decepticons vanish face planet however group businessman scientist attempt learn transformer incursion push boundary technology control ancient transformer menace set earth
0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,oscar diggs circus illusionist whisk kansa land oz inhabitant wizard prophecy save oz clutch evil
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,peter parker life between take guy spending time person love gwen stacy school graduation come quickly enough peter forget promise make gwen father protect stay away promise keep thing change peter villain electro emerge friend harry osborn return peter uncovers clue past
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sam flynn dare son kevin flynn investigate father disappearance pull grid help program name quorra sam quest stop dictator clu cross world
0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,star race car lightning mcqueen mater head overseas compete world grand prix race road championship become mater get catch adventure espionage
1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,century force warrior call green lantern corp swear keep order lantern wear ring grant superpower enemy call parallax threaten destroy balance power universe fate fate earth lie hand ever recruit
0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,woody buzz rest andy toy play year andy go college gang find accidentally leave day care center toy band together escape return home andy
1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,grow john connor lead resistance human increasingly robot marcus wright appear existence confuse mission connor try determine wright come future friend foe
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,deckard shaw seek revenge dominic toretto family comatose brother
1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,life united nation investigator gerry lane family seem suddenly world plague infection turn population rampage zombie barely escape chaos lane persuade go mission investigate disease follow trek world lane brave horrific danger odds find answer civilization fall
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fight war survival specie time period join force self battle change save future
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,crew enterprise call back home find force terror organization detonate fleet everything stand leave world state crisis score settle captain kirk lead manhunt world capture man weapon mass destruction hero propel epic chess game life death love challenge friendship apart sacrifice make family kirk leave crew
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,story war reignite farmhand unwittingly open gateway world race giant unleash earth time century giant strive reclaim land lose force man jack battle life stop fight kingdom people love brave princess come face face warrior think exist get chance become legend
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,adaptation scott fitzgerald long novel midwesterner nick carraway lure world neighbor jay gatsby soon enough however carraway see crack gatsby nouveau riche existence obsession madness await
1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,rogue prince reluctantly join force princess together race force safeguard dagger release sand time gift god reverse time allow possessor rule world
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legion creature know kaiju start rise sea war begin take million life consume humanity resource year end combat kaiju type weapon devise robot call jaeger control simultaneously pilot mind lock bridge even jaeger prove nearly defenseless face relentless kaiju verge defeat force defend mankind choice turn pilot charlie hunnam trainee rinko kikuchi team drive seemingly jaeger past together stand mankind hope mounting apocalypse
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sam witwicky take step adulthood remain ally optimus prime film center space race ussr usa suggest transformer role remain planet secret
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,set cold war soviet lead irina spalko search crystal skull power relate lost city gold capture escape indy coerce head peru behest man friend indy colleague professor oxley capture knowledge skull whereabouts
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,epic journey world dinosaur apatosaurus name arlo make friend
1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,brave set scottish highland mérida princess kingdom rule king fergus queen elinor daughter archer mérida day defy custom land inadvertently bring turmoil kingdom attempt set thing right mérida seek wise woman grant wish also figure mérida serving relief kingdom lord lord macguffin lord macintosh lord dingwall
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,us enterprise crew explore reach space encounter enemy put everything federation stand test
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,robot leave earth overrun garbage human flee outer space year continue try clean mess develop rather quality ship arrive type robot think finally find friend stow away ship leave
1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,assassination ambassador han inspector lee detective carter back action head paris protect woman knowledge triad leader lee also hold meeting united nation authority struggle mastermind name kenji reveal lee brother
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,adrian helmsley part team investigate effect earth radiation storm learn earth core heat warn president thomas wilson crust earth become preparation save fraction world population race doom meanwhile writer jackson curtis stumble information world leader race build ark escape cataclysm curtis struggle find way save family meanwhile eruption earthquake strength wreak havoc world
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,miser ebenezer scrooge awaken christmas eve spirit reveal existence opportunities waste youth cruelty fate await change way scrooge face story grow bitterness meanness decide future hold death redemption
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,universe material commodity earth woman become key maneuver strife
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tarzan acclimate life london call back home jungle investigate activity mining encampment
0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,sibling lucy edmund susan peter step wardrobe find land narnia discover charming kingdom plunge winter white witch jadis aid wise lion aslan child lead narnia battle witch power forever
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,world mutant apocalypse unite defeat extinction level plan
1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,batman raise stake war crime help jim gordon district attorney harvey dent batman set dismantle remain organization plague street partnership prove soon find prey reign chaos unleash rise mastermind know citizen gotham joker
0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,carl fredricksen spend life dreaming explore globe experience life age life seem pass twist fate wilderness explorer name russell give lease life
0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,susan murphy unwittingly clobber space gunk wedding day mysteriously grow jump action capture susan secrete away government compound rename ginormica place confinement ragtag group monster
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hold captive afghan cave billionaire engineer tony stark create suit armor fight evil
0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hugo boy living wall train station paris learn fix clock gadget father uncle put use keep train station clock run thing leave connect father automaton man work key hugo need find unlock secret believe contain adventure meet shopkeeper george melies work train station hugo find connection father automaton discover unlock memory man bury regard past
1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,legless southern inventor arliss loveless plan rekindle civil war assassinate president grant only men stop gunfighter james west inventor artemus gordon team thwart loveless plan
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,archaeologist rick travel china pit emperor han dynasty return pursue quest world domination time enlist help wife son quash emperor abuse power
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dc comic come suicide squad antihero team supervillains act asset united state government undertake ops mission exchange prison sentence
0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,god contact congressman evan baxter tell build ark preparation flood
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bill cage officer never see day combat unceremoniously demote drop combat cage kill minute manage take alpha alien awaken back beginning day force fight die contact alien throw time loop
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,world ice cap melt make earth planet barmaid rescue seafarer float island prison escape charge enola sail ship trio soon become target menacing pirate covet map tattoo enola back
1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,desert deep ice cap joe team use spy equipment fight arm dealer destro grow threat cobra organization prevent plunge world chaos
0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,grow road exception riley midwest life father start job san francisco riley guide emotion joy fear anger disgust sadness emotion live headquarters control center riley mind help advise life riley emotion struggle adjust life san francisco turmoil ensues headquarters joy riley emotion try keep thing emotion conflict navigate city house school
0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,threat tiger shere khan force flee jungle name mowgli embarks journey discovery help panther bagheera spirit bear baloo
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,world life superhero iron man billionaire inventor tony stark face pressure government press public share technology unwilling let go invention stark pepper potts james rhodes side forge alliance confront enemy
0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,evil queen marry king perform coup king murder daughter snow white take captive almost decade later snow white still clutch queen order obtain immortality evil queen need heart snow white snow escape castle queen send huntsman find dark forest
1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,story disney villain beauty woman maleficent life grow forest kingdom day invading army threaten harmony land rise land protector ultimately suffer ruthless betrayal act begin turn heart stone bent revenge maleficent face battle invade king successor result place curse infant aurora child grows maleficent realize aurora hold key peace kingdom maleficent happiness well
1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,group scientist san francisco struggle stay aftermath plague wipe humanity caesar try maintain dominance community ape
1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,lover romance time adventure film helm roland joffé story ajey jhankar film tale love set backdrop war time period continent centre character officer century colonial india woman fall deeply love marine biologist wife
1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,base movie japan japan tale epic ronin bear keanu reef lead cast kai outcast join oishi hiroyuki sanada leader outcast samurai together seek vengeance overlord kill master banish kind restore honor homeland warrior embark quest challenge series trial destroy warrior
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,event new york avenger steve rogers aka captain america live quietly washington try adjust world colleague come attack steve become embroil web intrigue threaten put world risk join force black widow captain america struggle expose conspiracy fight assassin send silence turn scope plot reveal captain america black widow enlist help ally falcon however soon find winter soldier
0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,shrek pact rumpelstiltskin get back feel ogre send version far far rumpelstiltskin king ogre hunt fiona never set restore world reclaim love
0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,bind share destiny teen burst curiosity inventor jade disillusionment embark mission unearth secret place somewhere time space exist memory tomorrowland
1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,bond develop robot baymax prodigy hiro hamada team group friend form band hero
0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,ralph villain video game name felix game hero fix building ralph destroy want prove guy villain ralph escape game land hero duty shooter help game battle invader later enter sugar rush kart race game set track make candy cooky sweet ralph meet vanellope von schweetz learn game face threat affect arcade ralph inadvertently start
0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,doubting boy take train ride north pole embark journey show wonder life never fade believe
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,always know come back using technology nation earth collaborate defense program protect planet nothing prepare alien advance force only ingenuity brave men woman bring world back brink extinction
0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,son viking leader cusp manhood hiccup horrendous haddock iii face rite passage kill dragon prove mettle down dragon realize longer want destroy instead befriend beast name toothless much chagrin warrior father
1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,year john connor save earth judgment day live radar steer use anything skynet trace encounter assassin order finish start thing connor nemesis terminator back aid connor promise
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,year earth year abduct peter quill find target manhunt discover orb want ronan accuser
0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chronicle adventure group explorer make use newly discover wormhole surpass limitation space travel conquer distance involve voyage
1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,cobb thief commit espionage infiltrate target offer chance regain life payment task consider inception implantation person idea target
1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,mind evangelion come hit life monster emerges tear city government scramble save citizen team volunteer cut web tape uncover monster weakness tie superpower time side catastrophe ever befall world evolve right eye
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bilbo baggins hobbit enjoy life sweep epic quest gandalf grey dwarf seek reclaim mountain home smaug dragon
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,domenic toretto los angeles street racer suspect mastermind series hijacking cop brian infiltrate toretto crew fall toretto sister choose side gang lapd
0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,tell story benjamin button man start age backwards consequence
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,charles xavier erik lensherr take name professor x magneto men discover power time friend work together mutant stop threat world ever know
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nation panem scale war katniss confront president snow showdown team group friend include gale finnick peeta katniss go mission unit district risk life stage assassination attempt president snow become increasingly destroy trap enemy choice await katniss challenge face hunger game
1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,balthazar blake master sorcerer manhattan try defend city maxim horvath balthazar alone recruit dave stutler seemingly guy demonstrate hide protégé sorcerer give accomplice crash course art science magic together partner work stop force darkness
1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,cruise ship travel atlantic hit overturn wave compel passenger begin fight life
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sequel tim burton alice wonderland alice kingsleigh return underland face adventure save mad hatter
0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,king far far away die shrek fiona become king amp queen however shrek want return cozy swamp peace find heir throne set bring back rule kingdom
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,realm azeroth stand brink war civilization face race invader warrior flee dying home colonize open connect world army face destruction face extinction oppose side hero set collision course decide fate family people home
1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,year john connor leader resistance continue war machine los angeles offensive john fear future begin emerge tecom spy reveal plot skynet attack front past future ultimately change warfare forever
0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,time edmund lucy pevensie cousin eustace scrubb find swallow painting ship head edge world
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,friendship rafe mccawley danny walker put test ace fighter pilot become entangle love triangle naval nurse evelyn johnson rivalry immediately put hold find center japan attack pearl harbor
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,young teenager sam witwicky become involve struggle faction transform robot heroic autobots decepticons sam hold clue power decepticons stop nothing retrieve
1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,alexander king macedonia lead legion persian empire defeat persian lead army know world venture far westerner ever go way india
0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,return year study hogwarts harry stun find warning return lord voldemort ignore leave choice harry take matter hand train group student dub army defend art
0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,harry start year hogwarts compete triwizard tournament face lord voldemort ron hermione help harry manage pressure voldemort lurks await chance destroy harry stand
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hancock superhero force employ pr expert help repair image public grow damage inflict lifesaving heroic agent idea imprison antihero make world miss prove hancock stick sense purpose slip back habit
1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,robert neville scientist stop spread virus immune neville survivor leave new york city perhaps world year neville faithfully send radio message find survivor alone
0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,boy win tour chocolate factory world lead world candy maker
0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,rat name remy dream become chef family wish problem rat decidedly profession fate place remy sewer paris find ideally situate restaurant make hero auguste gusteau danger certainly visitor kitchen restaurant remy passion cook soon set motion rat race turn world paris
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drive tragedy billionaire bruce wayne dedicate life defeat corruption plague home gotham city work system instead create identity symbol fear underworld batman
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,alex marty melman gloria king julien maurice penguin chimp back still maroon madagascar face obstacle new yorkers hatch plan work precision penguin repair plane sort
1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,hapless museum night watchman larry daley help living breathe exhibit friends pickle transfer archive institution larry mi adventure time include encounter amelia earhart abe lincoln ivan terrible
1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,seek live life logan set avenge death girlfriend undergo weapon x program become wolverine
1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,city zion defend invasion machine neo fight end war front also oppose rogue agent smith
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,young princess anna arendelle dream find love sister elsa coronation fate take journey attempt end winter fall kingdom accompany ice delivery man kristoff reindeer sven olaf adventure find friendship courage family love really mean
1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,month event depict matrix neo prove omen human human free matrix bring zion stronghold resistance neo discover superpower include speed ability see code thing matrix degree piece news hit resistance machine sentinel dig zion reach hour zion prepare war neo morpheus trinity advise oracle find keymaker help reach source meanwhile neo dream depict trinity death get enough agent smith somehow escape deletion become fix neo target
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,thor fight restore order race lead malekith return plunge universe back darkness face enemy even odin asgard withstand thor embark journey yet reunite jane foster force sacrifice everything save
1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,story set reach planet desert landscape humanity break everyone craze fight necessity life world exist rebel run restore order max man action man word seek peace mind follow loss wife child aftermath chaos furiosa woman action woman believe path survival achieve make desert back childhood homeland
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,harvard symbologist robert langdon investigate symbol sear chest physicist discover evidence rebirth brotherhood know illuminati organization ever walk earth
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,father odin mighty thor god recklessly reignite war thor cast earth force live human punishment once thor learn take hero villain world send force asgard invade earth
0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,bolt star show hollywood problem think accidentally ship new york city separate penny beloved owner bolt harness power find way home
1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,team agent animal guinea pig darwin juarez blaster mole speckle fly mooch take mission government stop leonard saber plan destroy world household appliance government shut sentence pet shop escape defeat villain save world
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,decade defeat kraken demigod son attempt live life village fisherman parent son helius meanwhile struggle supremacy rage god titan dangerously weaken humanity lack devotion god lose control titan leader kronos father brother zeus hades poseidon
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,vampire barnabas collins inadvertently free tomb emerge world return collinwood manor find estate family fall ruin
1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ethan team take mission yet eradicate syndicate international rogue organization highly skilled commit destroy imf
0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,lawrence talbot man visit london make amends estranged father get bite werewolf transformation leave savage hunger flesh
0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,barry benson bee graduate college disillusion lone career choice making honey trip barry life save vanessa florist new york city relationship blossom discover human actually eat honey subsequently decide sue
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,po live dream dragon warrior protect valley peace friend kung fu master furious five tigress crane mantis viper monkey po life awesomeness threaten emergence villain plan use weapon conquer china destroy kung fu po furious five journey china face threat vanquish po stop weapon stop kung fu look past secret origin unlock strength need succeed
1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,story follow adventure aang successor line avatar put childhood way aside stop fire nation enslave water earth air nation
1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,retire duty train imf agent ethan hunt call back action confront arm dealer owen davian hunt try protect girlfriend work team complete mission
